Language,Rank,Model,Macro_F1,F1_Target,Balanced_Accuracy,AUROC,AUPRC,Samples
slovene,1,GradientBoosting,0.7349228611500701,0.6956521739130435,0.7333333333333334,0.8166666666666667,0.8267720977279801,27
slovene,2,RandomForest,0.6345864661654135,0.5263157894736842,0.6416666666666667,0.7916666666666667,0.6872810954618734,27
slovene,3,GaussianNB,0.6164772727272727,0.5454545454545454,0.6166666666666667,0.5777777777777778,0.576053327763854,27
slovene,4,Bagging,0.6029411764705883,0.5,0.6083333333333334,0.6472222222222221,0.5491071428571429,27
slovene,5,ExtraTrees,0.6029411764705883,0.5,0.6083333333333334,0.6916666666666667,0.6041905480140775,27
korean,1,LDA,0.7525790630813461,0.7654320987654321,0.7523648648648649,0.785135135135135,0.7811245640344496,77
korean,2,RidgeClassifier,0.7398648648648649,0.75,0.7398648648648649,,,77
korean,3,TabPFN,0.7398648648648649,0.75,0.7398648648648649,0.7780405405405406,0.7649045447713196,77
korean,4,LogisticRegression,0.7391598915989159,0.7560975609756098,0.7388513513513514,0.7804054054054055,0.7980978876043926,77
korean,5,QDA,0.7380952380952381,0.7142857142857143,0.7449324324324325,0.7824324324324324,0.8132025247478946,77
english,1,TabPFN,0.8137275085436653,0.8053691275167785,0.8141025641025641,0.87146614069691,0.905289282814244,156
english,2,SVM_Linear,0.8134817563388992,0.8027210884353742,0.8141025641025641,0.8568376068376069,0.8926274276295748,156
english,3,LogisticRegression,0.8068988281894702,0.7945205479452054,0.8076923076923077,0.8719592373438527,0.8992801111301203,156
english,4,SVM_RBF,0.8061309030654515,0.7887323943661971,0.8076923076923077,0.8440992767915846,0.879750172192284,156
english,5,ExtraTrees,0.7874045013421433,0.7724137931034483,0.7884615384615384,0.850016436554898,0.8745008635503045,156
mandarin,1,QDA,0.7060334528076464,0.6935483870967742,0.7147058823529412,0.7448979591836735,0.788369262330869,259
mandarin,2,SVM_RBF,0.7025430680885971,0.6956521739130435,0.7092436974789915,0.7419567827130853,0.7621343029033527,259
mandarin,3,GaussianNB,0.702258849524492,0.6907630522088354,0.7105042016806723,0.7621848739495798,0.7955842468720701,259
mandarin,4,SVM_Linear,0.6792306429711864,0.6891385767790262,0.6815126050420168,0.751500600240096,0.7957096125137206,259
mandarin,5,ExtraTrees,0.6792306429711864,0.6891385767790262,0.6815126050420168,0.7169267707082833,0.7804438192291628,259
