Model,Rank,Macro_F1,Balanced_Accuracy,AUROC,AUPRC
LDA,1,0.7001,0.7051,0.7148,0.7513
ExtraTrees,2,0.696,0.6985,0.7538,0.7579
SVM_Linear,3,0.6898,0.6909,0.6548,0.7119
RandomForest,4,0.6894,0.6917,0.7618,0.7584
LogisticRegression,5,0.6882,0.689,0.7343,0.7574
RidgeClassifier,6,0.686,0.6874,,
GradientBoosting,7,0.6839,0.6837,0.7388,0.7652
GaussianNB,8,0.6796,0.6843,0.7239,0.746
Bagging,9,0.669,0.6727,0.7107,0.695
SVM_RBF,10,0.6662,0.6788,0.5985,0.6687
MLP,11,0.6574,0.6579,0.74,0.7531
TabPFN,12,0.655,0.662,0.7044,0.7181
RealMLP,13,0.6465,0.6488,0.6969,0.7179
AdaBoost,14,0.6338,0.6344,0.7056,0.7467
SGDClassifier,15,0.6287,0.6305,0.6589,0.6714
KNN_3,16,0.6203,0.6275,0.6498,0.6252
QDA,17,0.6201,0.6476,0.5833,0.7179
KNN_5,18,0.5951,0.6075,0.6405,0.6365
DecisionTree,19,0.5832,0.5834,0.5834,0.5544
