Model,Mode,english,korean,mandarin,slovene,Avg
lr,loo_embeddings,0.775±0.000,0.753±0.000,0.640±0.000,0.494±0.000,0.665
lr,loo_features,0.724±0.000,0.545±0.000,0.662±0.000,0.553±0.000,0.621
lr,loo_early_fusion,0.808±0.000,0.792±0.000,0.636±0.000,0.516±0.000,0.688
lr,loo_late_fusion,0.807±0.000,0.791±0.000,0.700±0.000,0.571±0.000,0.717
rf,loo_embeddings,0.549±0.000,0.523±0.000,0.545±0.000,0.852±0.000,0.617
rf,loo_features,0.781±0.000,0.675±0.000,0.667±0.000,0.635±0.000,0.689
rf,loo_early_fusion,0.665±0.000,0.714±0.000,0.710±0.000,0.852±0.000,0.735
rf,loo_late_fusion,0.665±0.000,0.714±0.000,0.710±0.000,0.852±0.000,0.735
realmlp,loo_embeddings,0.333±0.000,0.325±0.000,0.315±0.000,0.357±0.000,0.332
realmlp,loo_features,0.333±0.000,0.325±0.000,0.315±0.000,0.357±0.000,0.332
realmlp,loo_early_fusion,0.333±0.000,0.325±0.000,0.315±0.000,0.357±0.000,0.332
realmlp,loo_late_fusion,0.333±0.000,0.325±0.000,0.315±0.000,0.357±0.000,0.332
