Model,k,english,korean,mandarin,slovene,Avg
lr,1,0.462±0.045,0.671±0.072,0.518±0.064,0.588±0.066,0.560
lr,2,0.578±0.009,0.719±0.007,0.579±0.022,0.666±0.037,0.636
lr,3,0.663±0.024,0.740±0.047,0.584±0.025,0.703±0.099,0.672
lr,5,0.702±0.033,0.744±0.033,0.608±0.021,0.642±0.043,0.674
rf,1,0.402±0.007,0.325±0.000,0.316±0.001,0.800±0.060,0.461
rf,2,0.536±0.034,0.393±0.004,0.387±0.030,0.852±0.000,0.542
rf,3,0.477±0.031,0.515±0.072,0.422±0.015,0.852±0.000,0.566
rf,5,0.501±0.050,0.500±0.023,0.533±0.005,0.852±0.000,0.596
realmlp,1,—,—,—,—,—
realmlp,2,—,—,—,—,—
realmlp,3,—,—,—,—,—
realmlp,5,—,—,—,—,—
