Model,english,korean,mandarin,slovene,Mean
GradientBoosting,0.8462,0.644,0.7437,0.8268,0.7652
RandomForest,0.8427,0.7348,0.7687,0.6873,0.7584
ExtraTrees,0.8745,0.7723,0.7804,0.6042,0.7579
LogisticRegression,0.8993,0.7981,0.7913,0.541,0.7574
MLP,0.8827,0.8198,0.745,0.5649,0.7531
LDA,0.8842,0.7811,0.7894,0.5506,0.7513
AdaBoost,0.864,0.7206,0.7506,0.6514,0.7467
GaussianNB,0.8153,0.7971,0.7956,0.5761,0.746
TabPFN,0.9053,0.7649,0.7838,0.4183,0.7181
RealMLP,0.8179,0.7955,0.7589,0.4994,0.7179
QDA,0.8255,0.8132,0.7884,0.4444,0.7179
SVM_Linear,0.8926,0.8037,0.7957,0.3557,0.7119
Bagging,0.7607,0.7155,0.7548,0.5491,0.695
SGDClassifier,0.8707,0.6629,0.6933,0.459,0.6714
SVM_RBF,0.8798,0.7433,0.7621,0.2898,0.6687
KNN_5,0.7359,0.6653,0.6976,0.4471,0.6365
KNN_3,0.6823,0.6831,0.6437,0.4918,0.6252
DecisionTree,0.6228,0.5224,0.6195,0.453,0.5544
