Model,english,korean,mandarin,slovene,Mean
RandomForest,0.8092,0.7277,0.7185,0.7917,0.7618
ExtraTrees,0.85,0.7564,0.7169,0.6917,0.7538
MLP,0.8476,0.7851,0.6885,0.6389,0.74
GradientBoosting,0.8194,0.6297,0.6894,0.8167,0.7388
LogisticRegression,0.872,0.7804,0.7403,0.5444,0.7343
GaussianNB,0.7968,0.7588,0.7622,0.5778,0.7239
LDA,0.847,0.7851,0.7381,0.4889,0.7148
Bagging,0.7722,0.7091,0.7141,0.6472,0.7107
AdaBoost,0.8442,0.6703,0.6855,0.6222,0.7056
TabPFN,0.8715,0.778,0.7405,0.4278,0.7044
RealMLP,0.7911,0.777,0.6749,0.5444,0.6969
SGDClassifier,0.832,0.6557,0.6588,0.4889,0.6589
SVM_Linear,0.8568,0.7831,0.7515,0.2278,0.6548
KNN_3,0.7205,0.697,0.6261,0.5556,0.6498
KNN_5,0.7411,0.6699,0.6621,0.4889,0.6405
SVM_RBF,0.8441,0.7689,0.742,0.0389,0.5985
DecisionTree,0.6795,0.5057,0.6315,0.5167,0.5834
QDA,0.8057,0.7824,0.7449,0.0,0.5833
