Model,english,korean,mandarin,slovene,Mean
LDA,0.7885,0.7524,0.6796,0.6,0.7051
ExtraTrees,0.7885,0.7159,0.6815,0.6083,0.6985
RandomForest,0.7821,0.6753,0.6676,0.6417,0.6917
SVM_Linear,0.8141,0.7264,0.6815,0.5417,0.6909
LogisticRegression,0.8077,0.7389,0.6676,0.5417,0.689
RidgeClassifier,0.7885,0.7399,0.6796,0.5417,0.6874
GaussianNB,0.7308,0.6794,0.7105,0.6167,0.6843
GradientBoosting,0.7308,0.6233,0.6473,0.7333,0.6837
SVM_RBF,0.8077,0.7149,0.7092,0.4833,0.6788
Bagging,0.7244,0.6794,0.6786,0.6083,0.6727
TabPFN,0.8141,0.7399,0.6773,0.4167,0.662
MLP,0.7756,0.7284,0.6191,0.5083,0.6579
RealMLP,0.6987,0.6909,0.6307,0.575,0.6488
QDA,0.7308,0.7449,0.7147,0.4,0.6476
AdaBoost,0.7564,0.6243,0.6485,0.5083,0.6344
SGDClassifier,0.75,0.6139,0.608,0.55,0.6305
KNN_3,0.6795,0.6689,0.5947,0.5667,0.6275
KNN_5,0.6731,0.6814,0.6254,0.45,0.6075
DecisionTree,0.6795,0.5057,0.6315,0.5167,0.5834
