Model,english,korean,mandarin,slovene,Mean
GradientBoosting,0.7308,0.6329,0.6715,0.6957,0.6827
LogisticRegression,0.7945,0.7561,0.6861,0.4545,0.6728
SVM_Linear,0.8027,0.7407,0.6891,0.4545,0.6718
ExtraTrees,0.7724,0.7105,0.6891,0.5,0.668
LDA,0.7626,0.7654,0.696,0.4444,0.6671
RandomForest,0.7671,0.6835,0.6861,0.5263,0.6658
RidgeClassifier,0.7626,0.75,0.696,0.4545,0.6658
MLP,0.7742,0.7273,0.65,0.4348,0.6466
GaussianNB,0.6912,0.6479,0.6908,0.5455,0.6438
Bagging,0.7152,0.6479,0.6818,0.5,0.6362
AdaBoost,0.7532,0.6234,0.6667,0.4348,0.6195
RealMLP,0.6803,0.6757,0.6418,0.4762,0.6185
TabPFN,0.8054,0.75,0.6866,0.2105,0.6131
SGDClassifier,0.7516,0.5833,0.6165,0.5,0.6129
SVM_RBF,0.7887,0.7179,0.6957,0.2353,0.6094
DecisionTree,0.6753,0.525,0.6759,0.48,0.589
KNN_3,0.6622,0.6061,0.6125,0.4211,0.5755
KNN_5,0.6577,0.6269,0.6231,0.2222,0.5325
QDA,0.7042,0.7143,0.6935,0.0,0.528
