Model,english,korean,mandarin,slovene,Mean
LDA,0.7859,0.7526,0.6786,0.5833,0.7001
ExtraTrees,0.7874,0.7142,0.6792,0.6029,0.696
SVM_Linear,0.8135,0.7265,0.6792,0.5398,0.6898
RandomForest,0.7812,0.6751,0.6668,0.6346,0.6894
LogisticRegression,0.8069,0.7392,0.6668,0.5398,0.6882
RidgeClassifier,0.7859,0.7399,0.6786,0.5398,0.686
GradientBoosting,0.7308,0.6231,0.6469,0.7349,0.6839
GaussianNB,0.7263,0.6733,0.7023,0.6165,0.6796
Bagging,0.7241,0.6733,0.6756,0.6029,0.669
SVM_RBF,0.8061,0.7142,0.7025,0.442,0.6662
MLP,0.7756,0.7273,0.6191,0.5077,0.6574
TabPFN,0.8137,0.7399,0.6753,0.391,0.655
RealMLP,0.6977,0.6878,0.6289,0.5714,0.6465
AdaBoost,0.7564,0.6234,0.6476,0.5077,0.6338
SGDClassifier,0.75,0.6087,0.6059,0.55,0.6287
KNN_3,0.6786,0.6553,0.5937,0.5534,0.6203
QDA,0.7286,0.7381,0.706,0.3077,0.6201
KNN_5,0.6724,0.6698,0.6216,0.4167,0.5951
DecisionTree,0.6794,0.5057,0.6318,0.5159,0.5832
